Name													CRC32		Size
Getsumen no Anubis [gna].rsn										760EC7F7	333758
Gegege no Kitaro [gnk].rsn										77E42176	128762
Gunple - Gunman's Proof [gnpl].rsn									DD28261C	251530
G.O.D. - Mezameyo to Yobu Koe ha Kikoe [god].rsn							68465F0E	293597
Gods [gods].rsn												845C262D	55732
Gokujyo Parodius (Parodius 2) [gp].rsn									AE27EF55	207867
Gp-1 [gp1].rsn												F570F260	92054
GP-1 Part II [gp1p2].rsn										EEFC83EB	121419
BS Goods Press 7 [gpgg7].rsn										C47FE007	45454
BS Goods Press 3 [gpggs].rsn										D92DF5EE	52945
Ganso Pachinko Ou [gpo].rsn										3F8E23EC	84778
Galaxy Robo [grobo].rsn											309D9067	46779
Shinzui Taikyoku Igo Go Sennin [gs].rsn									B8A48772	40904
Gourmet Sentai Bara Yarou [gsby].rsn									163B97CD	213855
Ginga Sengoku Gunyuuden Rai [gsgr].rsn									A02A7272	116051
Ghost Sweeper Mikami - Gokuraku Daisakusen [gsm].rsn							BFB5C942	85044
Goof Troop [gt].rsn											F509422C	42055
GT Racing [gtr].rsn											ACC04B9E	110156
Gun Force [gunf].rsn											F4D1EBC7	38051
Nickelodeon GUTS [guts].rsn										EE81D646	158653
Galaxy Wars [gw].rsn											67997653	55049
Gundam Wing - Endless Duel [gwed].rsn									843C5B6B	111137
Hisshou 777 Fighter [h7f].rsn										B3FE7820	78569
